99 9.99E-99 99 9.99E-99 99 9.99E-99 99 9.99E-99 99 -99  50  -814 9 -999  50 1142  
99 9.99E-99 99 9.99E-99 99 9.99E-99 99 9.99E-99 99 -99  51  -830 9 -999  51 1165  
99 9.99E-99 99 9.99E-99 99 9.99E-99 99 9.99E-99 99 -99  52  -847 9 -999  52 1188  
99 9.99E-99 99 9.99E-99 99 9.99E-99 99 9.99E-99 99 -99  53  -863 9 -999  53 1211  
99 9.99E-99 99 9.99E-99 99 9.99E-99 99 9.99E-99 99 -99  54  -879 9 -999  54 1233  
99 9.99E-99 99 9.99E-99 99 9.99E-99 99 9.99E-99 99 -99  55  -896 9 -999  55 1256  
99 9.99E-99 99 9.99E-99 99 9.99E-99 99 9.99E-99 99 -99  56  -912 9 -999  56 1279  
99 9.99E-99 99 9.99E-99 99 9.99E-99 99 9.99E-99 99 -99  57  -928 9 -999  57 1302  
99 9.99E-99 99 9.99E-99 99 9.99E-99 99 9.99E-99 99 -99  58  -944 9 -999  58 1325  
99 9.99E-99 99 9.99E-99 99 9.99E-99 99 9.99E-99 99 -99  59  -961 9 -999  59 1348  
99 9.99E-99 99 9.99E-99 99 9.99E-99 99 9.99E-99 99 -99  60  -977 9 -999  60 1371  
99 9.99E-99 99 9.99E-99 99 9.99E-99 99 9.99E-99 99 -99  61  -993 9 -999  61 1393  
99 9.99E-99 99 9.99E-99 99 9.99E-99 99 9.99E-99 99 -99  62 -1010 9 -999  62 1416  
99 9.99E-99 99 9.99E-99 99 9.99E-99 99 9.99E-99 99 -99  63 -1026 9 -999  63 1439  
99 9.99E-99 99 9.99E-99 99 9.99E-99 99 9.99E-99 99 -99  64 -1042 9 -999  64 1462  
99 9.99E-99 99 9.99E-99 99 9.99E-99 99 9.99E-99 99 -99  65 -1058 9 -999  65 1485  
99 9.99E-99 99 9.99E-99 99 9.99E-99 99 9.99E-99 99 -99  66 -1075 9 -999  66 1508  
99 9.99E-99 99 9.99E-99 99 9.99E-99 99 9.99E-99 99 -99  67 -1091 9 -999  67 1530  
99 9.99E-99 99 9.99E-99 99 9.99E-99 99 9.99E-99 99 -99  68 -1107 9 -999  68 1553  
99 9.99E-99 99 9.99E-99 99 9.99E-99 99 9.99E-99 99 -99  69 -1124 9 -999  69 1576  
99 9.99E-99 99 9.99E-99 99 9.99E-99 99 9.99E-99 99 -99  70 -1140 9 -999  70 1599  
99 9.99E-99 99 9.99E-99 99 9.99E-99 99 9.99E-99 99 -99  71 -1156 9 -999  71 1622  
99 9.99E-99 99 9.99E-99 99 9.99E-99 99 9.99E-99 99 -99  72 -1173 9 -999  72 1645  
99 9.99E-99 99 9.99E-99 99 9.99E-99 99 9.99E-99 99 -99  73 -1189 9 -999  73 1668  
99 9.99E-99 99 9.99E-99 99 9.99E-99 99 9.99E-99 99 -99  74 -1205 9 -999  74 1690  
99 9.99E-99 99 9.99E-99 99 9.99E-99 99 9.99E-99 99 -99  75 -1221 9 -999  75 1713  
99 9.99E-99 99 9.99E-99 99 9.99E-99 99 9.99E-99 99 -99  76 -1238 9 -999  76 1736  
99 9.99E-99 99 9.99E-99 99 9.99E-99 99 9.99E-99 99 -99  77 -1254 9 -999  77 1759  
