2005-091T14:53:10 11111  5  4  5  2  1 166   3  44 1 1 1 1 2 4 1 270
2005-092T02:22:10 11111  5  4  5  2  1 166   3  44 1 1 1 1 2 4 1 187  
2005-092T20:22:10 11111  5  4  5  2  1 166   3  44 1 1 1 1 2 4 1  62  
2005-093T06:06:10 11111  5  4  5  2  1 166   3  44 1 1 1 1 2 4 1 240  
2005-094T00:22:10 00000  5  4  5  2  1 166   3  44 0 1 1 1 2 4 1 240  
2005-094T00:23:20 00000  5  4  5  2  1 166   3  44 0 1 1 1 2 4 1 135  
2005-094T00:53:50 11111  5  4  5  2  1 166   3  44 1 1 1 1 2 4 1 135  
2005-094T01:32:28 11111  5  4  5  2  1 166   3   2 1 1 1 1 2 4 1 135  
2005-094T01:33:28 11111  5  4  5  2  1   3   3   2 1 1 1 1 2 4 1 135  
2005-094T01:38:28 11111  5  4  5  2  1   3   0   2 1 1 1 1 2 4 1 135  
2005-094T04:23:00 11111  5  4  5  2  1   3   0  44 1 1 1 1 2 4 1 135  
2005-094T04:25:00 11111  5  4  5  2  1 166   0  44 1 1 1 1 2 4 1 135  
2005-094T04:30:00 11111  5  4  5  2  1 166   3  44 1 1 1 1 2 4 1 135  
2005-094T05:40:10 11111  5  4  5  2  1 166   3  44 1 1 1 1 2 4 1 240  
2005-094T20:22:10 00000  5  4  5  2  1 166   3  44 0 1 1 1 2 4 1 240  
2005-094T20:23:20 00000  5  4  5  2  1 166   3  44 0 1 1 1 2 4 1 135  
2005-094T20:53:50 11111  5  4  5  2  1 166   3  44 1 1 1 1 2 4 1 135  
2005-094T21:32:28 11111  5  4  5  2  1 166   3   2 1 1 1 1 2 4 1 135  
2005-094T21:33:28 11111  5  4  5  2  1   3   3   2 1 1 1 1 2 4 1 135  
2005-094T21:38:28 11111  5  4  5  2  1   3   0   2 1 1 1 1 2 4 1 135  
2005-095T00:00:10 00000  5  4  5  2  1   3   0   2 0 1 1 1 2 4 1 135  
2005-095T00:23:00 00000  5  4  5  2  1   3   0  44 0 1 1 1 2 4 1 135  
2005-095T00:25:00 00000  5  4  5  2  1 166   0  44 0 1 1 1 2 4 1 135  
2005-095T00:30:00 00000  5  4  5  2  1 166   3  44 0 1 1 1 2 4 1 135  
2005-095T00:31:00 11111  5  4  5  2  1 166   3  44 1 1 1 1 2 4 1 135  
2005-095T01:10:28 11111  5  4  5  2  1 166   3   2 1 1 1 1 2 4 1 135  
2005-095T01:11:28 11111  5  4  5  2  1   3   3   2 1 1 1 1 2 4 1 135  
2005-095T01:16:28 11111  5  4  5  2  1   3   0   2 1 1 1 1 2 4 1 135  
2005-095T01:40:10 11111  5  4  5  2  1   3   0   2 1 1 1 1 2 4 1 240  
2005-095T03:37:10 11111  5  4  5  2  1   3   0   2 1 1 1 1 2 4 1  90  
2005-095T04:01:00 11111  5  4  5  2  1   3   0  44 1 1 1 1 2 4 1  90  
2005-095T04:03:00 11111  5  4  5  2  1 166   0  44 1 1 1 1 2 4 1  90  
2005-095T04:08:00 11111  5  4  5  2  1 166   3  44 1 1 1 1 2 4 1  90  
2005-097T07:30:10 11111  5  4  5  2  1 166   3  44 1 1 1 1 2 4 1 257  
2005-097T16:07:10 11111  5  4  5  2  1 166   3  44 1 1 1 1 2 4 1  20  
2005-099T05:15:10 11111  5  4  5  2  1 166   3  44 1 1 1 1 2 4 1   0  
2005-100T00:00:10 00000  5  4  5  2  1 166   3  44 0 1 1 1 2 4 1   0  
2005-100T00:01:20 00000  5  4  5  2  1 166   3  44 0 1 1 1 2 4 1 135  
2005-100T00:31:50 11111  5  4  5  2  1 166   3  44 1 1 1 1 2 4 1 135  
2005-100T01:10:28 11111  5  4  5  2  1 166   3   2 1 1 1 1 2 4 1 135  
2005-100T01:11:28 11111  5  4  5  2  1   3   3   2 1 1 1 1 2 4 1 135  
2005-100T01:16:28 11111  5  4  5  2  1   3   0   2 1 1 1 1 2 4 1 135  
2005-100T04:01:00 11111  5  4  5  2  1   3   0  44 1 1 1 1 2 4 1 135  
2005-100T04:03:00 11111  5  4  5  2  1 166   0  44 1 1 1 1 2 4 1 135  
2005-100T04:08:00 11111  5  4  5  2  1 166   3  44 1 1 1 1 2 4 1 135  
2005-100T05:18:10 11111  5  4  5  2  1 166   3  44 1 1 1 1 2 4 1   0  
2005-100T07:15:10 11111  5  4  5  2  1 166   3  44 1 1 1 1 2 4 1  90  
2005-102T19:30:10 11111  5  4  5  2  1 166   3  44 1 1 1 1 2 4 1   0  
2005-103T02:00:10 11111  5  4  5  2  1 166   3  44 1 1 1 1 2 4 1  90  
