  0.00     -0.35 
  0.02      0.17 
  0.04      0.35 
  0.06     -0.17 
  0.08      0.35 
  0.10      0.17 
  0.12      2.79 
  0.14      2.62 
  0.16      0.35 
  0.18      0.70 
  0.20      0.17 
  0.22      0.70 
  0.24      0.70 
  0.26      0.35 
  0.28      0.87 
  0.30      0.35 
  0.32      0.35 
  0.34      0.87 
  0.36      0.35 
  0.38      0.70 
  0.40      0.52 
  0.42      0.70 
  0.44      0.52 
  0.46      0.52 
  0.48      1.05 
  0.50      0.87 
  0.52      0.17 
  0.54      0.70 
  0.56      0.70 
  0.58      0.52 
  0.60      0.52 
  0.62      0.87 
  0.64      0.70 
  0.66      0.35 
  0.68      1.05 
  0.70      0.87 
  0.72      0.52 
  0.74      0.87 
  0.76      1.22 
  0.78      0.87 
  0.80      0.52 
  0.82      0.52 
  0.84      1.05 
  0.86      0.87 
  0.88      0.70 
  0.90      0.87 
  0.92      0.87 
  0.94      0.87 
  0.96      0.70 
  0.98      0.87 
  1.00      0.52 
  1.02      0.52 
  1.04      1.22 
  1.06      0.87 
  1.08      0.70 
  1.10      0.87 
  1.12      0.35 
  1.14      1.05 
  1.16      0.52 
  1.18      1.05 
  1.20      0.87 
  1.22      0.87 
  1.24      1.05 
  1.26      0.35 
  1.28      0.87 
  1.30      1.05 
  1.32      0.52 
  1.34      1.75 
  1.36      1.22 
  1.38      1.22 
  1.40      0.70 
  1.42      0.70 
  1.44      1.22 
  1.46      0.35 
  1.48      1.40 
  1.50      1.22 
  1.52      1.22 
  1.54      1.22 
  1.56      0.52 
  1.58      0.52 
  1.60      0.52 
  1.62      0.52 
  1.64      0.87 
  1.66      0.87 
  1.68      1.40 
  1.70      1.05 
  1.72      0.70 
  1.74      1.05 
  1.76      0.52 
  1.78      1.05 
  1.80      0.87 
  1.82      1.05 
  1.84      0.87 
  1.86      1.05 
  1.88      0.70 
  1.90      0.52 
  1.92      0.70 
  1.94      1.05 
  1.96      0.87 
  1.98      1.05 
  2.00      0.70 
  2.02      0.17 
  2.04      1.40 
  2.06      1.22 
  2.08      1.40 
  2.10      1.22 
  2.12      1.05 
  2.14      1.40 
  2.16      0.52 
  2.18      1.05 
  2.20      0.70 
  2.22      0.87 
  2.24      0.70 
  2.26      0.87 
  2.28      0.52 
  2.30      0.87 
  2.32      1.05 
  2.34      1.40 
  2.36      0.87 
  2.38      1.92 
  2.40      1.05 
  2.42      1.22 
  2.44      1.22 
  2.46      0.87 
  2.48      1.05 
  2.50      0.87 
  2.52      1.05 
  2.54      1.40 
  2.56      1.40 
  2.58      1.40 
  2.60      1.57 
  2.62      0.70 
  2.64      1.75 
  2.66      1.22 
  2.68      1.57 
  2.70      1.22 
  2.72      1.40 
  2.74      1.22 
  2.76      1.05 
  2.78      1.05 
  2.80      1.57 
  2.82      0.70 
  2.84      1.40 
  2.86      1.05 
  2.88      1.57 
  2.90      1.05 
  2.92      0.87 
  2.94      1.40 
  2.96      0.87 
  2.98      1.57 
  3.00      1.22 
  3.02      1.05 
  3.04      1.57 
  3.06      1.57 
  3.08      1.40 
  3.10      1.57 
  3.12      0.70 
  3.14      1.75 
  3.16      1.75 
  3.18      2.10 
  3.20      0.87 
  3.22      0.87 
  3.24      1.40 
  3.26      1.05 
  3.28      1.57 
  3.30      1.75 
  3.32      1.40 
  3.34      1.75 
  3.36      1.57 
  3.38      1.75 
  3.40      1.05 
  3.42      1.22 
