    373836 2005-182T00:01:37 2453552.501130  0.0E+00 9  0.0E+00 1  0.0E+00 1  0.0E+00 1 -9.9E-99 -9.9E-99 -9.9E-99 9  122.36   20.42 9.0781  215.95    7.65    32.84  -9.68  -7.61  -2.23  303.16  -35.13 23  -9 -99.9 -9.9 -9.9E-99 -9.9 -9.9E-99 -9.9E-99 0 
    373837 2005-182T00:01:48 2453552.501250  0.0E+00 9  0.0E+00 1  0.0E+00 1  0.0E+00 1 -9.9E-99 -9.9E-99 -9.9E-99 9  122.36   20.42 9.0781  215.95    7.65    32.84  -9.68  -7.61  -2.23  303.29  -35.19 23  -9 -99.9 -9.9 -9.9E-99 -9.9 -9.9E-99 -9.9E-99 0 
    373838 2005-182T00:01:50 2453552.501280  0.0E+00 9  0.0E+00 1  0.0E+00 1  0.0E+00 1 -9.9E-99 -9.9E-99 -9.9E-99 9  122.36   20.42 9.0781  215.95    7.65    32.84  -9.68  -7.61  -2.23  302.04  -35.06 23  -9 -99.9 -9.9 -9.9E-99 -9.9 -9.9E-99 -9.9E-99 0 
    373839 2005-182T00:01:54 2453552.501330  0.0E+00 9  0.0E+00 1  0.0E+00 1  0.0E+00 1 -9.9E-99 -9.9E-99 -9.9E-99 9  122.36   20.42 9.0781  215.95    7.65    32.84  -9.68  -7.61  -2.23  295.99  -36.05 23  -9 -99.9 -9.9 -9.9E-99 -9.9 -9.9E-99 -9.9E-99 0 
    373840 2005-182T00:01:57 2453552.501360  0.0E+00 9  0.0E+00 1  0.0E+00 1  0.0E+00 1 -9.9E-99 -9.9E-99 -9.9E-99 9  122.36   20.42 9.0781  215.95    7.65    32.84  -9.68  -7.61  -2.23  308.37  -35.94 23  -9 -99.9 -9.9 -9.9E-99 -9.9 -9.9E-99 -9.9E-99 0 
    373841 2005-182T00:02:00 2453552.501390  0.0E+00 9  0.0E+00 1  0.0E+00 1  0.0E+00 1 -9.9E-99 -9.9E-99 -9.9E-99 9  122.36   20.42 9.0781  215.95    7.65    32.84  -9.68  -7.61  -2.23  299.00  -35.76 23  -9 -99.9 -9.9 -9.9E-99 -9.9 -9.9E-99 -9.9E-99 0 
    373842 2005-182T00:02:01 2453552.501410  0.0E+00 9  0.0E+00 1  0.0E+00 1  0.0E+00 1 -9.9E-99 -9.9E-99 -9.9E-99 9  122.36   20.42 9.0781  215.95    7.65    32.84  -9.68  -7.61  -2.23  305.52  -35.46 23  -9 -99.9 -9.9 -9.9E-99 -9.9 -9.9E-99 -9.9E-99 0 
    373843 2005-182T00:02:03 2453552.501430  0.0E+00 9  0.0E+00 1  0.0E+00 1  0.0E+00 1 -9.9E-99 -9.9E-99 -9.9E-99 9  122.36   20.42 9.0781  215.95    7.65    32.84  -9.68  -7.61  -2.23  305.77  -35.62 23  -9 -99.9 -9.9 -9.9E-99 -9.9 -9.9E-99 -9.9E-99 0 
    373844 2005-182T00:02:08 2453552.501490  0.0E+00 9  0.0E+00 1  0.0E+00 1  0.0E+00 1 -9.9E-99 -9.9E-99 -9.9E-99 9  122.36   20.42 9.0781  215.95    7.65    32.84  -9.68  -7.61  -2.23  304.73  -35.55 23  -9 -99.9 -9.9 -9.9E-99 -9.9 -9.9E-99 -9.9E-99 0 
    373845 2005-182T00:02:15 2453552.501570  0.0E+00 9  0.0E+00 1  0.0E+00 1  0.0E+00 1 -9.9E-99 -9.9E-99 -9.9E-99 9  122.36   20.42 9.0781  215.95    7.65    32.84  -9.68  -7.61  -2.23  306.28  -35.68 23  -9 -99.9 -9.9 -9.9E-99 -9.9 -9.9E-99 -9.9E-99 1 
    373846 2005-182T00:02:18 2453552.501600  0.0E+00 9  0.0E+00 1  0.0E+00 1  0.0E+00 1 -9.9E-99 -9.9E-99 -9.9E-99 9  122.36   20.42 9.0781  215.95    7.65    32.84  -9.68  -7.61  -2.23  305.43  -35.58 23  -9 -99.9 -9.9 -9.9E-99 -9.9 -9.9E-99 -9.9E-99 1 
    373847 2005-182T00:02:19 2453552.501610  0.0E+00 9  1.5E-15 1  0.0E+00 1  0.0E+00 1  6.7E-07 -9.9E-99 -9.9E-99 9  122.36   20.42 9.0781  215.95    7.65    32.84  -9.68  -7.61  -2.23  306.42  -35.73 23  -9 -99.9 -9.9 -9.9E-99 -9.9 -9.9E-99 -9.9E-99 0 
    373848 2005-182T00:02:22 2453552.501650  0.0E+00 9  0.0E+00 1  0.0E+00 1  0.0E+00 1 -9.9E-99 -9.9E-99 -9.9E-99 9  122.36   20.42 9.0781  215.95    7.65    32.84  -9.68  -7.61  -2.23  306.78  -35.79 23  -9 -99.9 -9.9 -9.9E-99 -9.9 -9.9E-99 -9.9E-99 0 
    373849 2005-182T00:02:28 2453552.501720  0.0E+00 9  0.0E+00 1  0.0E+00 1  0.0E+00 1 -9.9E-99 -9.9E-99 -9.9E-99 9  122.36   20.42 9.0781  215.95    7.65    32.84  -9.68  -7.61  -2.23  306.08  -35.72 23  -9 -99.9 -9.9 -9.9E-99 -9.9 -9.9E-99 -9.9E-99 0 
    373850 2005-182T00:02:31 2453552.501750  0.0E+00 9  0.0E+00 1  0.0E+00 1  0.0E+00 1 -9.9E-99 -9.9E-99 -9.9E-99 9  122.36   20.42 9.0781  215.95    7.65    32.84  -9.68  -7.61  -2.23  306.34  -35.75 23  -9 -99.9 -9.9 -9.9E-99 -9.9 -9.9E-99 -9.9E-99 1 
    373851 2005-182T00:02:32 2453552.501770  0.0E+00 9  0.0E+00 1  0.0E+00 1  0.0E+00 1 -9.9E-99 -9.9E-99 -9.9E-99 9  122.36   20.42 9.0781  215.95    7.65    32.84  -9.68  -7.61  -2.23  307.15  -35.84 23  -9 -99.9 -9.9 -9.9E-99 -9.9 -9.9E-99 -9.9E-99 0 
    373852 2005-182T00:02:42 2453552.501880  0.0E+00 9  1.3E-15 1  0.0E+00 1  0.0E+00 1  6.7E-07 -9.9E-99 -9.9E-99 9  122.36   20.42 9.0781  215.95    7.65    32.84  -9.68  -7.61  -2.23  307.15  -35.84 23  -9 -99.9 -9.9 -9.9E-99 -9.9 -9.9E-99 -9.9E-99 0 
    373853 2005-182T00:02:45 2453552.501920  0.0E+00 9  1.1E-15 1  5.0E-15 1  0.0E+00 1  8.7E-07  4.7E-06 -9.9E-99 9  122.36   20.42 9.0781  215.95    7.65    32.84  -9.68  -7.61  -2.23  307.23  -35.85 23  -9 -99.9 -9.9 -9.9E-99 -9.9 -9.9E-99 -9.9E-99 0 
    373854 2005-182T00:02:51 2453552.501990  0.0E+00 9  1.3E-15 1  0.0E+00 1  0.0E+00 1  5.9E-07 -9.9E-99 -9.9E-99 9  122.36   20.42 9.0781  215.95    7.65    32.84  -9.68  -7.61  -2.23  307.51  -35.90 23  -9 -99.9 -9.9 -9.9E-99 -9.9 -9.9E-99 -9.9E-99 0 
    373855 2005-182T00:02:52 2453552.502000  0.0E+00 9  1.2E-15 1  5.3E-15 1  0.0E+00 1  1.1E-06  4.0E-06 -9.9E-99 9  122.36   20.42 9.0781  215.96    7.65    32.84  -9.68  -7.61  -2.23  303.28  -35.41 23  -9 -99.9 -9.9 -9.9E-99 -9.9 -9.9E-99 -9.9E-99 0 
    373856 2005-182T00:02:53 2453552.502010  0.0E+00 9  1.6E-15 1  0.0E+00 1  0.0E+00 1  8.3E-07 -9.9E-99 -9.9E-99 9  122.36   20.42 9.0781  215.96    7.65    32.84  -9.68  -7.61  -2.23  309.47  -36.26 23  -9 -99.9 -9.9 -9.9E-99 -9.9 -9.9E-99 -9.9E-99 0 
    373857 2005-182T00:02:55 2453552.502030  0.0E+00 9  1.1E-15 1  0.0E+00 1  0.0E+00 1  6.7E-07 -9.9E-99 -9.9E-99 9  122.36   20.42 9.0781  215.96    7.65    32.84  -9.68  -7.61  -2.23  309.91  -36.33 23  -9 -99.9 -9.9 -9.9E-99 -9.9 -9.9E-99 -9.9E-99 1 
    373858 2005-182T00:03:01 2453552.502100  0.0E+00 9  1.6E-15 1  0.0E+00 1  0.0E+00 1  6.7E-07 -9.9E-99 -9.9E-99 9  122.36   20.42 9.0781  215.96    7.65    32.84  -9.68  -7.61  -2.23  308.27  -36.19 23  -9 -99.9 -9.9 -9.9E-99 -9.9 -9.9E-99 -9.9E-99 0 
    373859 2005-182T00:03:04 2453552.502130  0.0E+00 9  1.0E-15 1  0.0E+00 1  0.0E+00 1  1.6E-06 -9.9E-99 -9.9E-99 9  122.36   20.42 9.0781  215.96    7.65    32.84  -9.68  -7.61  -2.23  309.42  -36.31 23  -9 -99.9 -9.9 -9.9E-99 -9.9 -9.9E-99 -9.9E-99 0 
    373860 2005-182T00:03:06 2453552.502160  0.0E+00 9  0.0E+00 1  0.0E+00 1  0.0E+00 1 -9.9E-99 -9.9E-99 -9.9E-99 9  122.36   20.42 9.0781  215.96    7.65    32.84  -9.68  -7.61  -2.23  310.43  -36.40 23  -9 -99.9 -9.9 -9.9E-99 -9.9 -9.9E-99 -9.9E-99 0 
    373861 2005-182T00:03:09 2453552.502190  0.0E+00 9  1.3E-15 1  0.0E+00 1  0.0E+00 1  9.7E-07 -9.9E-99 -9.9E-99 9  122.36   20.42 9.0781  215.96    7.65    32.84  -9.68  -7.61  -2.23  310.66  -36.41 23  -9 -99.9 -9.9 -9.9E-99 -9.9 -9.9E-99 -9.9E-99 0 
    373862 2005-182T00:03:11 2453552.502220  0.0E+00 9  1.3E-15 1  0.0E+00 1  0.0E+00 1  5.3E-07 -9.9E-99 -9.9E-99 9  122.36   20.42 9.0781  215.96    7.65    32.84  -9.68  -7.61  -2.23  310.71  -36.45 23  -9 -99.9 -9.9 -9.9E-99 -9.9 -9.9E-99 -9.9E-99 0 
    373863 2005-182T00:03:13 2453552.502240  0.0E+00 9  1.3E-15 1  0.0E+00 1  0.0E+00 1  5.0E-07 -9.9E-99 -9.9E-99 9  122.36   20.42 9.0781  215.96    7.65    32.84  -9.68  -7.61  -2.23  310.94  -36.45 23  -9 -99.9 -9.9 -9.9E-99 -9.9 -9.9E-99 -9.9E-99 0 
    373864 2005-182T00:03:16 2453552.502280  0.0E+00 9  1.1E-15 1  0.0E+00 1  0.0E+00 1  2.7E-06 -9.9E-99 -9.9E-99 9  122.36   20.42 9.0781  215.96    7.65    32.84  -9.68  -7.61  -2.23  310.96  -36.43 23  -9 -99.9 -9.9 -9.9E-99 -9.9 -9.9E-99 -9.9E-99 0 
    373865 2005-182T00:03:17 2453552.502290  0.0E+00 9  1.1E-15 1  0.0E+00 1  0.0E+00 1  7.8E-07 -9.9E-99 -9.9E-99 9  122.36   20.42 9.0781  215.96    7.65    32.84  -9.68  -7.61  -2.23  311.30  -36.55 23  -9 -99.9 -9.9 -9.9E-99 -9.9 -9.9E-99 -9.9E-99 1 
    373866 2005-182T00:03:20 2453552.502320  0.0E+00 9  1.2E-15 1  0.0E+00 1  0.0E+00 1  9.0E-07 -9.9E-99 -9.9E-99 9  122.36   20.42 9.0781  215.96    7.65    32.84  -9.68  -7.61  -2.23  311.60  -36.57 23  -9 -99.9 -9.9 -9.9E-99 -9.9 -9.9E-99 -9.9E-99 0 
    373867 2005-182T00:03:22 2453552.502340  0.0E+00 9  1.3E-15 1  0.0E+00 1  0.0E+00 1  1.0E-06 -9.9E-99 -9.9E-99 9  122.36   20.42 9.0781  215.96    7.65    32.84  -9.68  -7.61  -2.23  311.74  -36.61 23  -9 -99.9 -9.9 -9.9E-99 -9.9 -9.9E-99 -9.9E-99 0 
    373868 2005-182T00:03:25 2453552.502380  0.0E+00 9  1.3E-15 1  0.0E+00 1  0.0E+00 1  1.7E-06 -9.9E-99 -9.9E-99 9  122.36   20.42 9.0781  215.96    7.65    32.84  -9.68  -7.61  -2.23  319.27  -37.55 23  -9 -99.9 -9.9 -9.9E-99 -9.9 -9.9E-99 -9.9E-99 0 
    373869 2005-182T00:03:29 2453552.502430  0.0E+00 9  0.0E+00 1  0.0E+00 1  0.0E+00 1 -9.9E-99 -9.9E-99 -9.9E-99 9  122.36   20.42 9.0781  215.96    7.65    32.84  -9.68  -7.61  -2.23  313.63  -36.95 23  -9 -99.9 -9.9 -9.9E-99 -9.9 -9.9E-99 -9.9E-99 0 
    373870 2005-182T00:03:33 2453552.502470  0.0E+00 9  1.3E-15 1  0.0E+00 1  0.0E+00 1  8.3E-07 -9.9E-99 -9.9E-99 9  122.36   20.42 9.0781  215.96    7.65    32.84  -9.68  -7.61  -2.23  313.93  -36.97 23  -9 -99.9 -9.9 -9.9E-99 -9.9 -9.9E-99 -9.9E-99 0 
